error,anomaly
1.0589752,False
1.4120623,False
2.3464675,False
3.0592716,False
3.1141334,False
4.7616034,False
7.1600256,False
7.148619,False
7.374972,False
9.918985,False
9.625971,False
12.872081,False
16.86069,False
15.987155,False
19.631916,False
18.13973,False
16.977737,False
17.439098,False
19.65835,False
23.403858,False
27.144125,False
25.152956,False
20.398262,False
20.60346,False
17.685104,False
17.817097,False
19.745974,False
23.108328,False
24.334723,False
17.922886,False
15.812378,False
14.511615,False
17.677013,False
19.262924,False
18.703457,False
23.741255,False
20.136684,False
20.103472,False
21.185156,False
21.317486,False
19.74873,False
19.923655,False
21.118006,False
19.452503,False
19.346485,False
17.755827,False
18.041515,False
16.033808,False
18.868252,False
21.37482,False
24.951542,False
29.63944,False
24.504658,False
28.10203,False
28.697199,False
28.444311,False
29.06721,False
28.077875,False
19.794605,False
20.944149,False
23.75313,False
20.19951,False
20.412567,False
26.646637,False
38.508434,False
46.816544,False
58.508278,False
72.457466,False
89.65355,False
105.716675,False
111.20097,False
129.0427,False
149.07446,False
151.22229,False
158.72343,False
163.53171,False
171.08725,False
171.13956,False
171.16855,False
168.34674,False
170.7872,False
168.06847,False
167.94612,False
172.88272,False
170.14038,False
172.87466,False
172.78636,False
172.83322,False
175.52713,False
178.18748,False
183.4414,False
186.18202,False
186.1353,False
188.84225,False
175.58821,False
156.07579,False
137.29482,False
122.99019,False
106.99015,False
87.490005,False
67.988846,False
48.78029,False
30.717987,False
10.702212,False
8.4759245,False
10.054973,False
9.950173,False
11.800457,False
11.563228,False
16.371939,False
17.930592,False
40.101128,False
38.43906,False
40.228977,False
38.623055,False
36.98465,False
37.047478,False
35.648285,False
32.183205,False
30.804073,False
29.717875,False
6.486988,False
11.496956,False
9.708692,False
10.626671,False
14.343493,False
18.171421,False
18.29781,False
44.000088,False
40.160507,False
62.55674,False
64.44352,False
59.334312,False
63.099144,False
62.443504,False
60.448536,False
55.375378,False
59.58415,False
34.9177,False
40.449684,False
18.995243,False
39.700905,False
39.988945,False
36.08881,False
61.810375,False
60.101692,False
61.828453,False
58.152935,False
58.283424,False
53.70579,False
56.130444,False
37.869415,False
38.72151,False
39.37281,False
13.0352,False
13.600916,False
16.737528,False
21.817883,False
20.251701,False
21.645279,False
18.06126,False
13.0492935,False
15.608871,False
15.728117,False
15.958723,False
38.291542,False
39.750774,False
36.182262,False
37.79636,False
36.40445,False
41.300488,False
45.085907,False
42.76694,False
43.174614,False
47.3832,False
53.42047,False
46.82839,False
77.61878,False
75.95811,False
75.887184,False
75.823814,False
75.71922,False
78.961525,False
78.81669,False
75.734276,False
49.735374,False
54.064217,False
56.906487,False
61.81539,False
62.18976,False
58.142567,False
86.94158,False
86.62012,False
91.6053,False
124.15487,False
120.63556,False
118.46196,False
85.33795,False
83.698654,False
83.98662,False
83.72387,False
50.80789,False
49.569687,False
45.468025,False
13.13414,False
13.29787,False
12.534149,False
8.88486,False
8.558983,False
8.912085,False
41.3514,False
41.70931,False
39.522797,False
39.248997,False
38.30671,False
43.212357,False
43.65339,False
43.92409,False
41.830307,False
42.161057,False
12.487915,False
13.003748,False
14.853516,False
14.810568,False
15.454541,False
11.205132,False
11.634476,False
11.895685,False
11.00413,False
11.312445,False
7.6457,False
7.401571,False
3.6712723,False
32.525692,False
32.269913,False
31.744806,False
30.680866,False
30.857132,False
30.261148,False
30.156773,False
58.92976,False
63.975147,False
64.61128,False
67.272705,False
99.7025,False
104.11532,False
104.27031,False
136.619,False
136.33536,False
137.0686,False
108.55278,False
103.50649,False
